Time	pre	pre	tem	tem
19961121/1200	0	0	-10.9	-8.7
19961122/1200	0	0	-10.8	-9.6
19961123/1200	0.1	0	-5	-4.3
19961124/1200	1.7	0	-0.4	-1.6
19961125/1200	1.3	0	-5.3	-6
19961126/1200	0	0	-9.8	-11.1
19961127/1200	0.1	0.2	-7.6	-8.7
19961128/1200	1.2	0.4	-4.7	-4.3
19961129/1200	4.8	7.5	1.2	0.3
19961130/1200	2.4	2.7	-0.1	-1.4
19961201/1200	0	1.1	-0.1	-1.4
19961202/1200	1	3.2	-5.3	-6
19961203/1200	10.5	1	-13.5	-14.3
19961204/1200	0	0	-16.7	-17.4
19961205/1200	0	0	-14.6	-10.5
19961206/1200	0	0.6	-9.9	-9.7
19961207/1200	0.1	1.8	-14.4	-11.9
19961208/1200	0	0.3	-14.2	-13.7
19961209/1200	0	0	-17.5	-15.2
19961210/1200	0	0	-20	-16.8
19961211/1200	0	0	-20.5	-15.6
19961212/1200	0	0	-16.6	-12.3
19961213/1200	0.4	0	-13.6	-10.5
19961214/1200	0	0	-14.1	-13.2
19961215/1200	0	0	-18.2	-15.6
19961216/1200	0	0	-19	-17
19961217/1200	0	0	-20.8	-16.5
19961218/1200	0	0	-18	-13.4
19961219/1200	0	0	-20.9	-16.3
19961220/1200	0	0	-24.6	-18.9
19961221/1200	0	0	-21.1	-18.5
19961222/1200	0	0	-17.2	-18.7
19961223/1200	0	0.2	-24.2	-18.9
19961224/1200	0	0	-13.7	-9.3
19961225/1200	0.6	3.8	-14.5	-15.7
19961226/1200	0	0.3	-19.9	-17.1
19961227/1200	0	0	-22.8	-17.7
19961228/1200	0	0	-24.3	-17.6
19961229/1200	0	0.1	-13.4	-4.8
19961230/1200	0.8	1.1	-3.2	-3
19961231/1200	0.7	6.5	-10.4	-10.9
19970101/1200	0.1	0	-11.1	-12.5
19970102/1200	0.4	0.2	-16.6	-14.6
19970103/1200	0	0	-21.9	-17.7
19970104/1200	0.7	1.2	-17.9	-15.2
19970105/1200	0.4	0.1	-22.6	-15.3
19970106/1200	1.4	0.2	-18.4	-13.5
19970107/1200	0	0	-20.5	-13.6
19970108/1200	0.5	2.2	-13.8	-14.7
19970109/1200	2.7	1.7	-22.3	-22.1
19970110/1200	0	0.2	-27.2	-24.6
19970111/1200	0.3	0	-28.4	-26.5
19970112/1200	0.4	1.1	-34.1	-28.1
19970113/1200	0	0.2	-17.8	-17.9
19970114/1200	1.2	6.7	-11.4	-10.8
19970115/1200	8.9	8.1	-14.4	-13.5
19970116/1200	0	0	-20.9	-20.4
19970117/1200	0	0	-24.5	-21.6
19970118/1200	0.7	0	-14.7	-12.1
19970119/1200	0.4	2.7	-16.9	-19.8
19970120/1200	0.2	0.4	-12.1	-10.1
19970121/1200	0.5	0.4	-15.8	-16.2
19970122/1200	0	0	-23.5	-21
19970123/1200	0	0	-21.9	-18.6
19970124/1200	0	1.9	-13	-5.1
19970125/1200	3.7	8.7	1	0.8
19970126/1200	3.8	11.1	-7.6	-7.6
19970127/1200	8	8.2	-14.2	-13.7
19970128/1200	1.7	3.2	-16.1	-15.9
19970129/1200	0.1	3.8	-16.9	-15.6
19970130/1200	0	0.3	-17.5	-19.1
19970131/1200	0	0	-19.2	-19.5
19970201/1200	0.2	0.3	-13.1	-13.8
19970202/1200	0.4	0.7	-17.7	-17.7
19970203/1200	0	0	-17.6	-18.4
19970204/1200	0	0	-22.4	-20.3
19970205/1200	0	0	-21.7	-21.2
19970206/1200	1.2	0.3	-27.8	-26
19970207/1200	0	0	-29.8	-25.7
19970208/1200	0	0	-29	-25.2
19970209/1200	0	0	-25.9	-19.9
19970210/1200	0	0	-18.6	-13.5
19970211/1200	0	0	-19.5	-16.8
19970212/1200	0	0	-25	-16.7
19970213/1200	0.5	2.8	-19.1	-9.3
19970214/1200	2.2	5.5	-7.3	-9.9
19970215/1200	1.9	4.2	-21.7	-24.5
19970216/1200	0	0	-19.6	-9.9
19970217/1200	0.2	2.7	-8.9	-3.6
19970218/1200	1	0.4	-3.8	-1.2
19970219/1200	0	0.1	-7.4	-6.8
19970220/1200	0	0	-6.3	-6.7
19970221/1200	0	0	-12.6	-11.7
19970222/1200	0	0	-8.4	-10.2
19970223/1200	0.1	0	-8.7	-10.5
19970224/1200	0	0	-9.3	-11.4
19970225/1200	0	0	-7.6	-9.6
19970226/1200	0	0	-8.3	-7.6
19970227/1200	0.1	0	-9.2	-11.7
19970228/1200	0.4	0.2	-16.2	-18.9
19970301/1200	0.1	0	-12.5	-14.4
19970302/1200	0.2	0	-2.9	-4
19970303/1200	0	0	-4.5	-6.5
19970304/1200	0.1	0	-2.2	-3.7
19970305/1200	0	0	-4.9	-6
19970306/1200	0.8	0.5	-2	-4.1
19970307/1200	5.1	2.9	-3.4	-4.4
19970308/1200	0	0.5	-1.9	-4.2
19970309/1200	0.1	1.7	-9.1	-13.6
19970310/1200	0	0	-13.2	-17.2
19970311/1200	0	0.9	-11.7	-11.8
19970312/1200	0	0.2	-18.3	-18.3
19970313/1200	0	0	-23.1	-22.5
19970314/1200	0	0	-21.1	-18
19970315/1200	0	0	-15.8	-12.9
19970316/1200	0	0	-16.7	-14.6
19970317/1200	0	0	-16.9	-15.8
19970318/1200	0	0	-20.7	-17.2
19970319/1200	0	0	-19.2	-18.2
19970320/1200	0	0	-19.3	-17.2
19970321/1200	0	0	-18.2	-17.7
19970322/1200	0	0	-20.9	-16.7
19970323/1200	0	0	-19.3	-12.1
19970324/1200	0	0.1	-7	-3.8
19970325/1200	0.2	3.3	-6.6	-3.7
19970326/1200	0	0	-7	-7.9
19970327/1200	0	0	-6.6	-8.5
19970328/1200	0	0	-9.6	-11.4
19970329/1200	0	0	-13.9	-12.7
19970330/1200	0	0	-10.8	-11.9
19970331/1200	0	0	-9.9	-12
19970401/1200	0	0	-12.3	-12.9
19970402/1200	0	0	-16.7	-14.1
19970403/1200	0	0	-19.8	-16.8
19970404/1200	0	0	-20.3	-16.9
19970405/1200	0	0	-23.1	-19
19970406/1200	0	0	-21.7	-18.5
19970407/1200	0	0	-19.7	-16.7
19970408/1200	0	0	-19.1	-14
19970409/1200	0	0	-15.8	-10.2
19970410/1200	0	0	-13.9	-11.1
19970411/1200	0	0	-15.3	-11.5
19970412/1200	0.2	0.9	-5.3	-5.5
19970413/1200	0.2	2.3	-4.5	-4
19970414/1200	0	0	-9.5	-5.7
19970415/1200	0	1.5	-3.5	-2.9
19970416/1200	0.1	10.5	-6.4	-9.2
19970417/1200	2.7	5.3	-6.6	-8.4
19970418/1200	0	0.5	-12.8	-13
19970419/1200	0	0.2	-13.4	-12.3
19970420/1200	0	0.3	-15.1	-16.1
19970421/1200	0	0	-14.6	-13.9
19970422/1200	0	0	-13.5	-11.8
19970423/1200	0.4	3.9	-5.7	-7.6
19970424/1200	3	2.3	-16.2	-16.1
19970425/1200	0	0.4	-16.6	-14.9
19970426/1200	0.1	1.5	-15.5	-16
19970427/1200	0	0	-15.5	-15.3
19970428/1200	0	0.3	-10.4	-10.1
19970429/1200	0	0	-13.2	-13.7
19970430/1200	0	0	-14.5	-13
19970501/1200	0	0	-9.8	-10.9
19970502/1200	0	0	-9	-9.8
19970503/1200	0	0	-7.5	-7.8
19970504/1200	0	0	-5.5	-2.8
19970505/1200	0	0	-4.8	-3.7
19970506/1200	0	0	-4.7	-4
19970507/1200	0	0	-1.3	-0.5
19970508/1200	0.1	1.2	0.6	-0.1
19970509/1200	0	2	-1	-2.3
19970510/1200	0	0	-1.9	-1.9
19970511/1200	0	0	-1.5	-2.6
19970512/1200	0	0.5	-2.9	-4.9
19970513/1200	0	0	-4.5	-6.5
19970514/1200	0	0.1	-5	-5.1
19970515/1200	0.1	0	-3.9	-4.7
19970516/1200	0	0	-4.5	-4.4
19970517/1200	0	0	-4.3	-4.8
19970518/1200	0	0	-3.9	-4.9
19970519/1200	0	0	-4.6	-5.1
19970520/1200	0	0	-3.8	-5.5
19970521/1200	0	0	-4	-4.3
19970522/1200	0	0	-2.7	-3.8
19970523/1200	0	0.1	-2.2	-2
19970524/1200	0	0.2	-1.2	-2.1
19970525/1200	0	0.1	-0.8	-2.7
19970526/1200	0	0	-4.1	-5
19970527/1200	0.8	0	-4.9	-5.2
19970528/1200	0.4	0.2	-3	-3
19970529/1200	0.1	0.1	0.5	0.6
19970530/1200	0	0.6	2.3	2.2
19970531/1200	0	2.6	1.9	1.9
19970601/1200	0.1	1.7	-0.2	0.3
19970602/1200	1.1	3.2	0.1	-1
19970603/1200	0	0	-2.4	-2
19970604/1200	0	0	-2.7	-2.7
19970605/1200	0	0	-2.6	-3.3
19970606/1200	0	0.3	-2.1	-1.7
19970607/1200	0	0	-0.5	-0.8
19970608/1200	0	0	-0.4	-0.1
19970609/1200	0.1	0	1.5	0.7
19970610/1200	0	0	2.2	1.6
19970611/1200	0	0	3.3	2.9
19970612/1200	0	0	3.8	3.4
19970613/1200	0	0	1.2	1.4
19970614/1200	0	0	2.3	1.5
19970615/1200	0	0	4	3.4
19970616/1200	0	0	4.8	4.1
19970617/1200	0	0	6.4	5.7
19970618/1200	0	0	6	5.7
19970619/1200	0	0	3.2	3.3
19970620/1200	0.1	0	4.7	4.5
19970621/1200	0	0	6	2.2
19970622/1200	0	0.1	1.2	1.1
19970623/1200	0	0	5	4
19970624/1200	0	0	5.6	5.9
19970625/1200	0	0	6	6.5
19970626/1200	0	0	4.7	1.7
19970627/1200	0	0	2.6	1.2
19970628/1200	0	0	4.8	2.5
19970629/1200	0	0	5.3	4.8
19970630/1200	0.6	0	4	4
19970701/1200	0	0	4.1	3.3
19970702/1200	0	0.1	2.9	1.7
19970703/1200	0	1.9	3.4	4.4
19970704/1200	0	0.9	5.1	5.6
19970705/1200	0	0	7.4	5.8
19970706/1200	1.7	2.8	6.8	6.3
19970707/1200	0	0	7.1	6.6
19970708/1200	0	0	8.7	7.5
19970709/1200	0	0	5.8	6.8
19970710/1200	0.2	0	8.2	6
19970711/1200	1	2.6	3.3	4.2
19970712/1200	0.1	1.3	5.3	5.3
19970713/1200	2.6	10.1	4.9	6.4
19970714/1200	0	0.5	5.3	6.3
19970715/1200	0	0.2	4.6	4.2
19970716/1200	7.2	5.2	4.8	5.2
19970717/1200	4.4	3.6	5.9	6.4
19970718/1200	0.1	1.5	3.7	3.1
19970719/1200	1.2	0	3.9	3.5
19970720/1200	1.7	5.1	4.6	4.8
19970721/1200	0.5	1.7	3.8	4.7
19970722/1200	0.5	0.3	4.8	4.6
19970723/1200	4.2	1.4	3.8	3.7
19970724/1200	0.6	0.6	5.9	5.5
19970725/1200	0	0	7.3	6.2
19970726/1200	0	0	7	4.7
19970727/1200	0	0	4.3	4.4
19970728/1200	0	0	5.1	4.3
19970729/1200	1.8	3.3	3.6	4.5
19970730/1200	0.4	0	4.8	5.1
19970731/1200	0	0.1	6	5.4
19970801/1200	0.4	0.5	6.8	5.7
19970802/1200	0.5	1.7	6.4	5.6
19970803/1200	0	0	7.2	9.4
19970804/1200	0.3	0	8.6	7.8
19970805/1200	0.2	5.6	6.3	5.2
19970806/1200	2.4	6.9	4.3	3.4
19970807/1200	4.6	4.9	5.6	5.8
19970808/1200	0.4	2.1	6.7	5.5
19970809/1200	2.9	1.7	5.6	5.2
19970810/1200	1.8	1	4	1.7
19970811/1200	0	2.6	3.5	2.8
19970812/1200	0	0.1	3.7	3.9
19970813/1200	0	0	4.4	2.8
19970814/1200	0	0	5.1	3.7
19970815/1200	0	0	5	4.9
19970816/1200	0.5	0.5	2.8	2.7
19970817/1200	0.2	0.1	4.1	5.4
19970818/1200	1	7.8	5.5	5.3
19970819/1200	3.7	3	6	4.9
19970820/1200	0.8	0	3.8	3.3
19970821/1200	1.1	2.9	2.7	1.7
19970822/1200	0	0.1	1.9	1.3
19970823/1200	0	0	0.2	0.9
19970824/1200	0	0	0.8	0.6
19970825/1200	0	0	1.3	0.6
19970826/1200	0	0	1.8	0.4
19970827/1200	0	0	3.6	2.5
19970828/1200	0.1	0.8	4.2	2.9
19970829/1200	0.1	0.3	3.2	5.2
19970830/1200	11.5	1.7	7.7	7.7
19970831/1200	4.9	6.1	10.5	11.7
19970901/1200	21.3	8.1	3.4	3.8
19970902/1200	0.3	1.1	2.2	2.2
19970903/1200	0	4.1	2.6	2.7
19970904/1200	0	0	2.8	2.7
19970905/1200	0	0	2.8	2.7
19970906/1200	0	0	6.9	6.5
19970907/1200	0	2	8	6.2
19970908/1200	0	0.3	4.2	4
19970909/1200	0	0.1	-0.5	0.8
19970910/1200	0	0	-2.2	-1.9
19970911/1200	0	0.2	-1	-2.9
19970912/1200	0	3.3	-4.7	-6.3
19970913/1200	0.1	2.5	-2.8	-3.9
19970914/1200	0	0.4	-0.8	-1.2
19970915/1200	0	0	3.1	2
19970916/1200	0	0	1.4	2.1
19970917/1200	1.1	0	1.5	1.2
19970918/1200	0	0	2.4	2
19970919/1200	0	0	1.6	0.6
19970920/1200	0	0	1.2	0.2
19970921/1200	0	0	0.6	-0.1
19970922/1200	0	0	-1.8	-2.9
19970923/1200	0.3	1.4	-2.3	-3.9
19970924/1200	0.1	1.4	-4.7	-5.4
19970925/1200	0	0	-5.7	-6
19970926/1200	0	0	-3	-3.7
19970927/1200	0	0	1.8	2.1
19970928/1200	0.9	16	3.3	1.6
19970929/1200	5	9.9	-3	-4.4
19970930/1200	0.1	0.1	0	0.7
19971001/1200	0.1	0.1	4.5	3.8
19971002/1200	0	0.6	3.5	3.4
19971003/1200	0	0	3.2	2.5
19971004/1200	0	0	0.4	0.9
19971005/1200	0.1	0	0.2	0.5
19971006/1200	0.1	0	-1.9	-3.5
19971007/1200	0	0	-2	-2.1
19971008/1200	0	0	-2.9	-2.4
19971009/1200	0.2	0	-3.1	-3.7
19971010/1200	0.2	0	-2.4	-4.6
19971011/1200	0.1	0	-4.9	-7.4
19971012/1200	0	0	-4.4	-6.5
19971013/1200	0	0	-5.3	-4.9
19971014/1200	0	0	-6.4	-6.7
19971015/1200	0.1	0	-2.5	-4.1
19971016/1200	0	0	-2.6	-4.4
19971017/1200	2.1	0	-3	-4.7
19971018/1200	0.1	0.1	-3.5	-3.4
19971019/1200	0	0	-6.1	-6
19971020/1200	0	0	-4.4	-4.6
19971021/1200	0.1	0	-5.7	-5
19971022/1200	0.1	0	-8	-8.1
19971023/1200	0.1	0	-9.7	-8.4
19971024/1200	0.1	0.1	-9.6	-10.2
19971025/1200	0.4	0	-11.6	-11
19971026/1200	0.3	0.1	-9.6	-8.2
19971027/1200	0	0.7	-9	-10.2
19971028/1200	1	1.3	-10.5	-10
19971029/1200	0.7	0	-11.2	-12.5
19971030/1200	0	0	-12.2	-10.6
19971031/1200	0.2	0	-10.4	-9
19971101/1200	0.1	0	-12.3	-11.8
19971102/1200	0	0	-11.6	-11.8
19971103/1200	0	0.1	-10.9	-11.3
19971104/1200	0	0.5	-10.6	-12.1
19971105/1200	0.2	0.4	-15.7	-17.6
19971106/1200	0.1	0	-18.3	-17
19971107/1200	0	0	-18.7	-16.4
19971108/1200	0	0	-17.8	-15.8
19971109/1200	0	0	-17	-11.5
19971110/1200	1.4	14.1	-2.9	-2.8
19971111/1200	0.7	7.7	-12.2	-17.1
19971112/1200	0	0	-16.3	-15.4
19971113/1200	0	0	-14.9	-9.7
19971114/1200	0.1	0	-6.8	-5.6
19971115/1200	0	0.9	-5.8	-3.7
19971116/1200	0.1	0	1.5	0.7
19971117/1200	0.9	1	-0.4	-1
19971118/1200	2.4	1.8	-3.3	-3.9
19971119/1200	0.2	0.1	-6.5	-5.9
19971120/1200	0.2	1.7	-1.8	-0.2
19971121/1200	5.7	1.1	0.4	-1.3
19971122/1200	5.1	1.9	-3.2	-4.5
19971123/1200	0.4	2.5	-1.7	-4.1
19971124/1200	0.3	0.4	-7.2	-7.6
19971125/1200	0.2	0.9	-4.4	-1.8
19971126/1200	0.8	5.3	-2.3	-3.2
19971127/1200	0.8	2.2	-5.5	-9
19971128/1200	0	0	-9.8	-7.4
19971129/1200	0	0.3	-3.8	-1.8
19971130/1200	0.1	0.4	-6.4	-8.5
19971201/1200	0	0	-5.3	-5.2
19971202/1200	0.4	1	-8.6	-10.9
19971203/1200	0	0	-18.3	-19.7
19971204/1200	0	0	-14.6	-13.5
19971205/1200	1.8	5.8	-7.5	-10.8
19971206/1200	4.9	2	-16.2	-18
19971207/1200	0.1	0.1	-13.6	-12
19971208/1200	1.6	0.8	-10.5	-7.7
19971209/1200	0.8	0.5	-13	-12
19971210/1200	0.1	0.1	-17.3	-14.6
19971211/1200	0	0	-8.6	-7.8
19971212/1200	0	0	-0.7	-2.3
19971213/1200	0.1	2.5	-2.6	-1.4
19971214/1200	1.1	17	-4.2	-6.1
19971215/1200	1	5.8	-5.4	-7.4
19971216/1200	6.2	14.1	-3.3	-5.8
19971217/1200	6.2	4.5	-14.1	-16.8
19971218/1200	0	0.5	-17.3	-16.3
19971219/1200	0	0	-17.3	-13
19971220/1200	0.1	0.3	-8	-7.9
19971221/1200	1.3	3.2	-7	-7.5
19971222/1200	0.6	2.4	-6.5	-7.2
19971223/1200	0	0.2	-1.7	-2.7
19971224/1200	2.4	7.4	-9.1	-8.4
19971225/1200	0.1	0	-16	-10.2
19971226/1200	0.1	1.6	-8.2	-9.6
19971227/1200	1	2.4	-16.2	-14.1
19971228/1200	0	0.6	-8.8	-8.5
19971229/1200	1.9	2.2	-9.1	-14.9
19971230/1200	8.3	0.1	-8.6	-9.1
19971231/1200	3.1	0.3	-8	-9.3
19980101/1200	0.3	0.1	-10.4	-12.4
19980102/1200	0.2	0.1	-18.8	-16.6
19980103/1200	0.1	0	-13	-14.4
19980104/1200	0	0	-14.3	-13.2
19980105/1200	0	0	-10.9	-10.2
19980106/1200	0.4	0	-5.2	-5.2
19980107/1200	0	0	-3.1	-3
19980108/1200	0	0	-0.3	-0.8
19980109/1200	0.1	0.5	-1.7	-3.1
19980110/1200	0	0.5	-6.1	-4.9
19980111/1200	0	0	-14.2	-11.5
19980112/1200	0	0.4	-17	-11.8
19980113/1200	0.4	6.2	-19.9	-18.8
19980114/1200	0.2	0.2	-22.5	-21.7
19980115/1200	1.5	0	-20.7	-24.2
19980116/1200	0.1	0	-28.4	-26.8
19980117/1200	0	0	-30.2	-29.4
19980118/1200	0	0	-32.4	-30.5
19980119/1200	0	0.1	-30.7	-24.8
19980120/1200	0.8	0.9	-22.2	-20.7
19980121/1200	0.3	2.1	-24.7	-25.8
19980122/1200	0	0	-24.5	-25.8
19980123/1200	0	0	-25	-25.9
19980124/1200	0	0	-24.6	-26.8
19980125/1200	0	0	-24.8	-25.1
19980126/1200	0	0	-29.6	-26.4
19980127/1200	0	0	-28.9	-29.1
19980128/1200	0	0	-31.3	-30.1
19980129/1200	0	0	-31.4	-27
19980130/1200	0	0	-27	-24.6
19980131/1200	0	0	-25.4	-13.5
19980201/1200	0	0	-22	-17.9
19980202/1200	0	0	-23.1	-17.4
19980203/1200	0	0	-22.8	-16.5
19980204/1200	0	0	-20.8	-19.2
19980205/1200	0	0	-25.4	-23.6
19980206/1200	0	0	-27.4	-22.9
19980207/1200	0	0	-25.6	-19.6
19980208/1200	0	0	-17.6	-13.7
19980209/1200	0	0	-12.5	-10.9
19980210/1200	0	0	-10.1	-9.2
19980211/1200	0	0	-8.3	-8.3
19980212/1200	0.1	0	-7.3	-7.9
19980213/1200	0	0	-8.9	-9.8
19980214/1200	0	0.8	-6.8	-7.6
19980215/1200	0	0	-7.1	-10.1
19980216/1200	0	0	-16.9	-13.5
19980217/1200	0.5	0.7	-11.3	-11
19980218/1200	0.2	0.5	-16.1	-13.2
19980219/1200	0	0	-23.3	-19.8
19980220/1200	0	0	-29.6	-25.7
19980221/1200	0	0	-30.9	-27.1
19980222/1200	0	0	-28.4	-26.4
19980223/1200	0	0	-28.3	-20.2
19980224/1200	0.4	0.9	-26.2	-27.7
19980225/1200	0	0	-32.2	-27.7
19980226/1200	0	0	-21.9	-21.3
19980227/1200	0	0	-23.7	-25.1
19980228/1200	0	0	-28.3	-27.4
19980301/1200	0	0	-31.4	-27.4
19980302/1200	0	0	-29.6	-24.3
19980303/1200	0	0	-30	-26.9
19980304/1200	0	0	-28.3	-25
19980305/1200	0	0	-22.8	-21.7
19980306/1200	0	0	-25	-23.4
19980307/1200	0	0	-25.3	-22.6
19980308/1200	0	0.1	-26.3	-21
19980309/1200	0	0.2	-22.6	-14.3
19980310/1200	2	1.9	-22.7	-20.8
19980311/1200	0.1	1.2	-15.6	-8.5
19980312/1200	0.1	0.2	-9	-8.6
19980313/1200	0.1	0	-7.5	-7.3
19980314/1200	0	0	-3.7	-3.9
19980315/1200	0	4.6	-1.6	-1.2
19980316/1200	0.2	13.8	-2.6	-3.7
19980317/1200	0.1	0	-4.6	-4.8
19980318/1200	1.2	4.9	-2.6	-4
19980319/1200	0	0.1	-4.5	-4.1
19980320/1200	0	0	-12.3	-8.6
19980321/1200	0.2	0.5	-12.4	-10.7
19980322/1200	0.5	8.4	-3.2	-4.4
19980323/1200	2.3	6.4	-3	-7.1
19980324/1200	0.5	3.4	-3.3	-4.9
19980325/1200	0	1.1	-2.3	-0.7
19980326/1200	0	0	-1.8	-3
19980327/1200	0	0	-4.5	-4.3
19980328/1200	0	0	-11.4	-9.2
19980329/1200	0	0	-12.7	-12.4
19980330/1200	0	0	-12.6	-12.7
19980331/1200	0	0	-11.9	-11.6
19980401/1200	0	0	-17.5	-11.4
19980402/1200	0.6	3.4	-9.1	-5.3
19980403/1200	0	0	-9.8	-6.7
19980404/1200	0	0.4	-14.7	-14.3
19980405/1200	0	0	-19	-18.7
19980406/1200	0	0	-20.3	-21.9
19980407/1200	0	0	-21.3	-22.4
19980408/1200	0	0	-17.4	-16.6
19980409/1200	0	0	-17.6	-16.6
19980410/1200	0	0	-18.3	-17.3
19980411/1200	0	0	-18.9	-18.8
19980412/1200	0	0	-18.9	-18.2
19980413/1200	0	0	-16.6	-15.2
19980414/1200	0	0	-15.4	-10.5
19980415/1200	0.1	0.1	-8.9	-4.2
19980416/1200	0.1	3.8	-6.2	-3.8
19980417/1200	0	0.4	-11.7	-9.2
19980418/1200	0	0	-13	-10.4
19980419/1200	0	0	-12.5	-12.2
19980420/1200	0	0	-13.2	-10.7
19980421/1200	0	0	-12.4	-5
19980422/1200	0	0	-6.7	-4.2
19980423/1200	0.1	0.4	-3	-2.3
19980424/1200	0.2	2.2	-3.6	-6.5
19980425/1200	0	0	-6.2	-10.7
19980426/1200	0	0	-10.6	-11.1
19980427/1200	0	0	-11.1	-9.9
19980428/1200	0	0	-9.9	-9.4
19980429/1200	0	0	-7.5	-8.5
19980430/1200	0	0.6	-4.4	-4.4
19980501/1200	0	0	-7.3	-6.3
19980502/1200	0	0	-7.7	-6.9
19980503/1200	0.2	1.3	-3.2	-3.1
19980504/1200	0.2	0	-3.3	-4.7
19980505/1200	0	0	-7	-8.9
19980506/1200	0	0	-9	-8.8
19980507/1200	0	0	-10.2	-7.4
19980508/1200	0	0.2	-8.1	-4.7
19980509/1200	0.3	2.6	-4.5	-6.5
19980510/1200	0	0	-7.9	-8.2
19980511/1200	0.2	0.2	-8.7	-7.6
19980512/1200	0	0.1	-10.6	-10.4
19980513/1200	0	0	-10.5	-7.6
19980514/1200	1.1	1.6	-6.4	-2.6
19980515/1200	0	0.3	-2.7	-2.4
19980516/1200	0.6	3.3	-0.3	-2.2
19980517/1200	2.1	2.2	-6	-7.1
19980518/1200	0.3	3.3	-6.7	-7.3
19980519/1200	0	0	-6.9	-6.8
19980520/1200	0	0	-6.9	-7
19980521/1200	0	0	-7.2	-6.6
19980522/1200	0	0.2	-5.3	-6.5
19980523/1200	0	0	-6.4	-6.2
19980524/1200	0	0.1	-4.5	-4.4
19980525/1200	0	0.1	-3.7	-3.2
19980526/1200	0.4	1.6	-0.7	-0.4
19980527/1200	0	1.4	-2	-0.9
19980528/1200	0	0	-1.5	-1.5
19980529/1200	0	0	-2.2	-2.6
19980530/1200	0	0	-3.1	-3.3
19980531/1200	0.1	0	-1.9	-0.6
19980601/1200	0	0	-0.4	-0.5
19980602/1200	0	0	-0.4	0.2
19980603/1200	0	0	0	-0.7
19980604/1200	0	0	0.1	0.3
19980605/1200	0	0	0.3	-0.5
19980606/1200	0	0	0.6	-0.4
19980607/1200	0	0	1.7	0.8
19980608/1200	0.2	0	1.1	0.1
19980609/1200	0.1	0	1.6	1.6
19980610/1200	0	0	2.8	-0.1
19980611/1200	0	0.1	1.8	0.3
19980612/1200	0	0.7	0.8	1
19980613/1200	1.2	1.4	1	0.7
19980614/1200	0.8	1.7	1.2	1
19980615/1200	0.1	0.1	0.7	0.4
19980616/1200	0.1	0.9	1.5	0.7
19980617/1200	0.2	3.5	1.5	1
19980618/1200	0	0	1.9	0.6
19980619/1200	0	0	2.1	0.4
19980620/1200	0	0	1.4	1.5
19980621/1200	0	0	2.6	2.3
19980622/1200	0	0	3.5	2.9
19980623/1200	0	0	4.4	3.7
19980624/1200	0	0	4.8	2.2
19980625/1200	0	0	6.9	1
19980626/1200	0	0	7.7	2.8
19980627/1200	0	0	7.6	5.6
19980628/1200	0	0	7.6	5.8
19980629/1200	0	0	7.1	4.4
19980630/1200	0	0	5.7	2.9
19980701/1200	0	0	4.7	3
19980702/1200	0.2	0	5.5	2.6
19980703/1200	0	0	5.6	2.3
19980704/1200	0	0.2	5.9	3.1
19980705/1200	0	0	6.4	4.2
19980706/1200	0	0	7	3.9
19980707/1200	0	0.1	7.6	3.9
19980708/1200	0	0	9.3	7.3
19980709/1200	0.1	1.9	7.8	6.3
19980710/1200	0	0	7.2	6.5
19980711/1200	0	0	10.3	6.6
19980712/1200	0	0	8.5	5.3
19980713/1200	0	0	10.4	7.8
19980714/1200	0	0	14.2	11
19980715/1200	0	0	11.5	9.9
19980716/1200	0	0	12.2	7.5
19980717/1200	0	0	7	5.4
19980718/1200	0	0	5.3	4.2
19980719/1200	0.3	0	6.8	4.3
19980720/1200	0	0.2	7.8	5.3
19980721/1200	0	0	11.4	9.6
19980722/1200	0.1	0	15.4	10.1
19980723/1200	0	0	11.4	7.4
19980724/1200	0	0	9.8	7.1
19980725/1200	0	0	6.4	5.8
19980726/1200	0	0	5	5.6
19980727/1200	0	0	7.8	5.8
19980728/1200	0	0	5.9	5.4
19980729/1200	0	0	7	6.2
19980730/1200	0	0	8.4	6
19980731/1200	0	0	5.8	3.8
19980801/1200	0	0	7.4	NA
19980802/1200	0	0.1	7.2	NA
19980803/1200	0	0.3	4.7	NA
19980804/1200	0	0	6.6	NA
19980805/1200	0.1	0.6	7.5	NA
19980806/1200	0	1	6.5	NA
19980807/1200	0	0	6	NA
19980808/1200	0	0	6.6	NA
19980809/1200	0	0	6.3	NA
19980810/1200	0	0	7.3	6.3
19980811/1200	0.1	0.2	6.6	5
19980812/1200	0	0.3	7.2	5.6
19980813/1200	0	0	7.9	5.8
19980814/1200	0	0	5.3	5.6
19980815/1200	0	0	6.1	6
19980816/1200	0	0	8.9	8.2
19980817/1200	0	0	9.5	8.7
19980818/1200	0	0	10.2	7.5
19980819/1200	0	0	7.2	4.5
19980820/1200	0	0	5.3	3.7
19980821/1200	2	0.2	4.5	2.7
19980822/1200	2.3	4.7	3.4	2.1
19980823/1200	0.6	0	5	3.6
19980824/1200	1.4	0.1	7.2	6.8
19980825/1200	3	1.5	9.4	9.5
19980826/1200	1.1	0.1	11.3	10
19980827/1200	0.3	0	7.6	7.7
19980828/1200	0	0	5	4.5
19980829/1200	0	0	4.2	4.5
19980830/1200	0.1	0	4.8	6
19980831/1200	0	0.3	8	7.6
19980901/1200	0.2	4	4	3.1
19980902/1200	0	0	3.2	3.2
19980903/1200	5.4	0.6	3.3	3.5
19980904/1200	0.4	0.7	5.3	3
